1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
49,23,17,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
49,23,17,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
50,23,17,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
50,23,17,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
50,23,17,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
50,23,17,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
50,23,17,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
50,23,17,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
50,23,17,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
50,23,17,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
50,24,17,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
51,24,17,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
51,24,17,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
51,24,17,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
51,24,17,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
51,24,17,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
51,24,17,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
51,24,17,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
51,24,17,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
51,24,17,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
52,24,17,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
52,24,17,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
52,24,17,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
52,24,17,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
52,24,17,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
52,24,17,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
52,24,17,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
52,24,17,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
52,24,17,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
52,24,17,11,10,7,4,3,2,2,2,3,2,2,2,3,2,1,2,1,1,1,1,0,0,0,1,1,0,0
